Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
International French Speaking Conference on Logic and Constraint Programming,JFPLC,,,,C,C,C,C,C,,
International Frontiers of Algorithmics Workshop,FAW,National: China,National: China,National: China,B,B,B,B,B,,
International ICSC Congress on Intelligent Systems and Applications,IICISA,,,,C,C,C,C,C,,
International IEEE Security in Storage Workshop,SISW,,,,C,C,C,C,C,,
International IEEE Workshop on Software Evolvability,SE,,,,C,C,C,C,C,3.0,4.0
International Joint Conference CAAP/FASE on Theory and Practice of Software Development,TAPSOFT,,,,C,C,C,C,C,,
International Joint Conference on Artificial Intelligence,IJCAI,A*,A*,A*,A*,A*,A*,A*,A,136.0,192.0
International Joint Conference on Automated Reasoning,IJCAR,A,A,A*,A*,A*,A*,A*,A,,
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*,A*,A*,A*,A*,A*,A*,A,,
International Joint Conference on Biometrics,IJCB,B,,,,,,,,,
International Joint Conference on Computational Intelligence,IJCCI,C,C,,,,,,,136.0,192.0
International Joint Conference on Computational Linguistics,IJCNLP2,,,,B,B,B,B,,,
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,C,C,C,C,C,C,C,C,10.0,17.0
International Joint Conference on Natural Language Processing,IJCNLP,B,B,B,B,B,B,B,B,32.0,56.0
International Joint Conference on Qualitative and Quantitative Practical Reasoning,ESQARU,,,,A,A,A,A,A,,
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),C,C,C,C,C,C,C,C,10.0,12.0
International Joint Conference on Rules and Reasoning,RuleML+RR,B,B,,,,,,,,
International Joint Conference on e-Business and Telecommunications,ICETE,,,,C,C,C,C,C,,
International KES Conference on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,C,C,C,C,C,C,C,C,,
International Logic Programming Symposium,ILPS,,,,A,A,A,A,,,
International Machine Vision and Image Processing Conference,IMVIP,National: ireland,National: ireland,National: ireland,C,C,C,C,C,14.0,25.0
"International Meeting on High Performance Computing for Computational Science (previously International Meeting Vector and Parallel Processing, changed in 2002)",VECPAR,,,,B,B,B,B,B,,
