Title,ERA Score
Conference on Security in Network Architectures and Information Systems SAR-SSI,C
Conference on Software Engineering Education and Training CSEE&T,C
Conference on Software in Telecommunications and Computer Networks SOFTCOMM,B
Conference on Spatial Information Theory COSIT,C
Conference on the Quality of Software Architectures QoSA,A
Conference on Theory and Applications of Models of Computation TAMC,B
Conference on Visualization and Data Analysis VDA,C
Congress of the Italian Assoc for AI AI*IA,B
Congress of the Modelling and Simulation Society of Australia and New Zealand Modsim 03,A
ConnectED: International Conference on Design Education ConnectED,C
Constraint Databases and Applications CDB,C
Constraint Programming Day CPD,C
"Construction Applications of Virtual Reality, International Conference CAVR",C
Construction Applications to Virtual Reality Conference CONVR,C
Construction Automation Conference,B
Construction in the Twenty-first Century Conferences CITC,B
Construction Management and Economics Conference CME 25,A
Construction Management and Real Estate International Symposium CRIOCM,B
Contact Mechanics,A
"Cooperative Design, Visualization, and Engineering CDVE",C
Cooperative Research Centre for Construction Innovation International Conference CRCCI,B
Coordinated and Multiple Views in Exploratory Visualization CMV,C
Corrosion and Prevention,A
Cryptography Policy and Algorithms Conference CryPAC,C
Crypto'Puces Crypto'Puces,C
Cultural Attitudes towards Technology and Communications CATAC,B
Cultural Heritage Knowledge Visualisation CHKV,C
"Cumulus - International Association of Universities and Colleges of Art, Design and Media CUMULUS",C
Current Trends in Theory and Practice of Computer Science SOFSEM,B
Data Compression Conference DCC,A
Data Semantics in Web Information Systems DASWIS,C
Data Warehousing and Knowledge Discovery DaWaK,B
Database Systems for Advanced Applications DASFAA,A
Databases and Programming Language DBPL,B
Declarative Agent Languages and Technologies DALT,B
Design and Aesthetics in Visualisation DAViz,C
Design and Emotion Society Conferences,D
Design and Management of Data Warehouses DMDW,C
Design Computing and Cognition DCC,A
Design for User Experience DUX,B
Design Research Society (UK) International Conference DRS,B
Design Society Conferences,B
"Design, Automation and Test in Europe Conference DATE",B
Designing Interactive Systems DIS,B
Designing Pleasurable Products And Interfaces DPPI,B
Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V DAGM,B
Developments in Language Theory DLT,B
Digital Arts and Culture DAC,C
Digital Games Research Conference DIGRA,C
Digital Image Computing Techniques and Applications DICTA,B
DIMACS Workshop on Intrinsic Complexity of Computation DIMACS Intrinsic,C
Discourse Anaphora and Anaphor Resolution Colloquium DAARC,C
Discrete and Algorithmic Geometry DAG,C
"Discrete Models: Combinatorics, Computation and Geometry DM-CCG",C
Distributed Communities on the Web Workshop Dcw,C
Domain - Specific Languages for Software Engineering DSLSE,C
Domain Specific Aspect Languages DSAL,C
Durability of Building Materials and Components Conference DBMC,C
Dutch Computational Geometry Day DutchCG,C
Dynamic Graph Workshop DGW,C
Dynamic Languages Symposium DLS,B
East Asia Society for Transportation Studies Conference (biennial) EASTS,C
East Asia-Pacific Conference on Structural Engineering and Construction,B
Ecopolitics,B
ECRYPT Workshop on Cryptographic Hash Functions,C
ECRYPT Workshop on Tools for Cryptanalysis,C
Education and Research in Computer Aided Architectural Design in Europe eCAADe,B
Educational Data Mining EDM,B
